Wall time,Step,Value
1615314527.0532794,3371532,-89.72071838378906
1615314547.3435094,3390069,214.89141845703125
1615314558.4608672,3399192,103.68791198730469
1615314565.578818,3405407,226.02760314941406
1615314567.1745338,3406855,-893.9127197265625
1615314578.0107896,3416142,-1575.8028564453125
1615314583.1223981,3420768,199.46737670898438
1615314602.608885,3437571,-786.3242797851562
1615314625.1142244,3457650,-1925.008056640625
1615314626.808094,3459089,-1213.458740234375
1615314626.8088517,3459175,147.5675506591797
1615314635.034199,3466867,-1506.325927734375
1615314643.8135571,3474518,90.28939056396484
1615314650.8049524,3480697,162.1861572265625
1615314654.309367,3483697,-1546.6387939453125
1615314663.3540647,3491349,194.9001922607422
1615314669.0374804,3496056,-1327.9697265625
1615314692.3834376,3515931,131.87680053710938
1615314697.6897757,3520599,214.9148406982422
1615314699.329875,3522163,206.40341186523438
1615314728.1389678,3548264,-148.33306884765625
1615314728.1393204,3548161,-70.6719741821289
1615314735.0021398,3554370,-318.4033508300781
1615314736.8438692,3555962,179.8784637451172
1615314749.5006013,3566681,-4.144346714019775
1615314753.1263502,3569713,-366.4574279785156
1615314753.1270373,3569762,205.58204650878906
1615314759.8599951,3575843,35.54375076293945
1615314768.662208,3583612,-1121.2716064453125
1615314768.66242,3583583,107.3869400024414
1615314781.4253569,3594283,-130.0813751220703
1615314783.4557135,3595845,-188.74908447265625
1615314786.821302,3598963,156.37875366210938
1615314788.5120568,3600410,-533.9290771484375
1615314790.3410187,3601965,-90.17941284179688
1615314794.970514,3606606,173.17059326171875
1615314798.4255285,3609603,-988.6928100585938
1615314812.3800428,3622001,153.4657440185547
1615314822.6797643,3631178,-43.88810729980469
1615314826.3528502,3634281,-1016.7527465820312
1615314826.3530924,3634260,-966.8251953125
1615314833.0360148,3640356,137.91156005859375
1615314834.6802409,3641907,174.8681640625
1615314841.6903589,3648007,241.31112670898438
1615314843.6896033,3649619,84.55268859863281
1615314846.895531,3652707,-121.93236541748047
1615314848.369673,3654159,144.9125518798828
1615314851.601641,3657259,36.46871566772461
1615314854.7327,3660393,-23.425613403320312
1615314868.8963485,3672678,71.93318176269531
1615314868.8978941,3672579,167.09295654296875
1615314879.9074903,3681840,168.45509338378906
1615314881.8113909,3683428,97.59980773925781
1615314890.5187209,3691088,-1486.519775390625
1615314892.1574414,3692599,-808.4044189453125
1615314892.15777,3692594,122.50150299072266
1615314901.230614,3700346,186.40879821777344
1615314903.13151,3701808,-1597.4918212890625
1615314906.7232547,3704875,196.9059600830078
1615314908.4854128,3706384,75.55701446533203
1615314912.095386,3709506,91.61876678466797
1615314926.4777231,3721854,166.5523223876953
1615314933.4229558,3727926,294.37213134765625
1615314935.4303842,3729517,-514.0872802734375
1615314944.000575,3737096,-1352.890869140625
1615314950.8228605,3743337,110.67525482177734
1615314957.9578888,3749428,162.86111450195312
1615314957.9583166,3749481,-973.9933471679688
1615314959.8577163,3751016,157.50709533691406
1615314977.6153166,3766320,-2120.072998046875
1615314982.8407218,3770935,-144.37777709960938
1615314994.224453,3781652,160.59951782226562
1615315011.478738,3797028,206.84642028808594
1615315031.135434,3813968,181.3319091796875
1615315041.7165258,3823231,177.50108337402344
1615315046.4322546,3827837,117.88352966308594
1615315051.684091,3832383,97.85926818847656
1615315062.2327652,3841636,-981.9408569335938
1615315064.0257244,3843171,126.5716781616211
1615315070.8319259,3849334,-1655.663818359375
1615315072.5703945,3850790,-512.7394409179688
1615315075.9804053,3853912,246.16033935546875
1615315086.7914667,3863167,307.800537109375
1615315097.7227743,3872296,255.14248657226562
1615315101.271198,3875352,129.07638549804688
1615315103.1727247,3876987,127.19046020507812
1615315108.767564,3881513,-894.4270629882812
1615315112.085407,3884570,-773.30322265625
1615315112.0867097,3884594,-120.67908477783203
1615315122.805985,3893826,96.94171142578125
1615315133.3596816,3902985,211.30340576171875
1615315140.1775424,3909135,166.41683959960938
1615315141.9687903,3910737,174.9178924560547
1615315150.5618885,3918352,631.2564086914062
1615315156.1526935,3922971,127.87403106689453
1615315161.9022274,3927580,-35.26724624633789
1615315175.0032005,3939915,100.1700439453125
1615315178.6542122,3943031,114.18560791015625
1615315178.6549037,3942914,313.1681823730469
1615315184.0478702,3947560,119.86925506591797
1615315184.0486522,3947542,248.84042358398438
1615315189.704083,3952185,170.8173828125
1615315191.2767227,3953771,178.65789794921875
1615315191.2793097,3953746,128.28248596191406
1615315195.0029843,3956819,229.18638610839844
1615315198.3990607,3959868,279.8844299316406
1615315201.8450108,3962998,97.35868835449219
1615315227.6526957,3984462,141.10154724121094
1615315231.490201,3987567,-112.49365234375
1615315233.3063345,3989112,335.14825439453125
1615315235.2395499,3990599,-809.5592651367188
1615315237.257678,3992070,191.79443359375
1615315247.9781814,4001302,151.09210205078125
1615315249.57116,4002834,-406.0008239746094
1615315267.5110853,4018295,153.27952575683594
1615315267.5116618,4018198,-46.808990478515625
1615315271.2885318,4021285,169.08514404296875
1615315295.9442003,4042839,102.58419036865234
1615315297.7563372,4044355,102.49608612060547
1615315304.6837049,4050475,119.2614517211914
1615315310.3516054,4055124,-32.15924835205078
1615315317.369087,4061199,251.38499450683594
1615315335.831556,4076587,117.25386047363281
1615315337.5425613,4078157,121.73623657226562
1615315350.2873693,4088950,165.13853454589844
1615315357.765578,4095057,97.70599365234375
1615315370.3354912,4105787,-1001.5729370117188
1615315375.4244668,4110393,-1700.6746826171875
1615315390.9023902,4124246,-251.3714599609375
1615315394.4638095,4127288,164.06263732910156
1615315402.8867033,4134988,-860.8075561523438
1615315411.7846165,4142620,303.6024475097656
1615315417.1432064,4147205,135.81173706054688
1615315418.8406882,4148860,-1072.2423095703125
1615315421.9569247,4151880,175.62057495117188
1615315427.043016,4156523,102.86683654785156
1615315437.7073383,4165747,108.49103546142578
1615315443.0122452,4170263,201.43179321289062
1615315460.554563,4185601,207.8214569091797
1615315464.007133,4188721,184.9775848388672
1615315471.1385849,4194898,166.9144287109375
1615315473.020342,4196469,133.5347900390625
1615315474.90609,4197963,147.9644775390625
1615315478.6008048,4200974,100.61656188964844
1615315481.928173,4204117,95.3570327758789
1615315487.6182072,4208675,172.70474243164062
1615315489.4758115,4210231,172.80221557617188
1615315492.8633587,4213313,-67.86212158203125
1615315503.547108,4222521,201.19107055664062
1615315506.9558206,4225549,139.84095764160156
1615315508.7557964,4227096,146.43655395507812
1615315510.2677062,4228661,129.16693115234375
1615315513.959064,4231692,230.69444274902344
1615315513.9591908,4231693,195.92823791503906
1615315515.7460573,4233266,177.99249267578125
1615315523.0711913,4239453,106.228271484375
1615315531.6463623,4247098,-227.02020263671875
1615315542.3619926,4256367,92.3886947631836
1615315550.8432696,4264056,-831.2044067382812
1615315565.4597533,4276248,202.263916015625
1615315567.165132,4277831,-998.1575927734375
1615315572.3573172,4282421,-1058.4627685546875
1615315587.0310836,4294749,148.79953002929688
1615315593.8725204,4300861,198.90618896484375
1615315604.461067,4310022,63.46808624267578
1615315619.959017,4323942,264.917236328125
1615315623.4913027,4326936,23.99114227294922
1615315627.1678183,4329989,219.9911346435547
1615315628.9724646,4331626,144.20523071289062
1615315641.6569178,4342322,167.88815307617188
1615315641.6580482,4342359,-68.0252456665039
1615315643.465276,4343816,191.54058837890625
1615315647.1718905,4346989,166.15455627441406
1615315654.718439,4353103,37.84287643432617
1615315661.9450102,4359218,538.7659912109375
1615315665.1716063,4362261,128.94119262695312
1615315668.4593318,4365338,164.1094970703125
1615315677.3259473,4373009,-119.04175567626953
1615315686.0910766,4380716,147.27552795410156
1615315691.137793,4385392,-885.2512817382812
1615315694.5991132,4388373,153.63172912597656
1615315708.9819484,4400652,737.7034301757812
1615315712.5409167,4403725,190.21754455566406
1615315712.541984,4403832,100.96371459960938
1615315715.995158,4406895,217.3883056640625
1615315715.9953382,4406799,153.20481872558594
1615315717.771714,4408409,293.4513854980469
1615315721.41035,4411413,196.9868621826172
1615315723.0949516,4412929,-511.4824523925781
1615315743.2273102,4429857,264.126953125
1615315761.2838426,4445236,252.73988342285156
1615315777.7796183,4459118,-953.182373046875
1615315779.6852374,4460581,160.64102172851562
1615315786.6360023,4466754,505.3680114746094
1615315795.426836,4474376,243.08546447753906
1615315795.4270773,4474410,123.76554870605469
1615315795.428448,4474372,178.13516235351562
1615315797.0935469,4476002,151.74435424804688
1615315802.5864737,4480610,-821.2958374023438
1615315806.2604964,4483651,166.8870849609375
1615315806.2617035,4483686,176.9691925048828
1615315811.7058246,4488311,-245.26043701171875
1615315822.4506955,4497521,185.350341796875
1615315835.2452607,4508280,96.9810791015625
1615315847.62246,4519018,318.2278747558594
1615315856.7285554,4526719,-630.93115234375
1615315863.871329,4532749,162.47242736816406
1615315863.8722532,4532771,143.8926544189453
